storyID,comment,questionBefores,questionAfter,choiceIns,choiceOuts,content,
q0000,,,q0001,,,You are asleep.,
q0001,,q0000,q0002,,,Your alarm clock goes off.,
q0002,,q0001,q0003,,,You look at your phone.,
q0003,,q0002,,,"c000300, c000301",It is 8:12am.,
q0010,,,q0011,c000300,,You throw the covers off in get started with your day.,
q0011,,q0010,q0012,,,A full breakfast is in order. Yum!,
q0012,,q0011,q0030,,,You go to work just in time to get fired.,
q0020,,,q0021,c000301,,You stay in bed until the last minute.,
q0021,,q0020,q0030,,,Then grab a coffee on your way to the train.,
q0030,,"q0012, q0021",,,"c003000, c003001",You’re in shocked disbelief. What did you do wrong?,
q0100,,,,c003000,"c010000, c010001",Fun times! yeah! What do you want to do?,
,,,,,,,
,,,,,,,
q0200,,,,c003001,,"Job history. Didn’t get fired, got downsized…",
