00: Prologue: The Dream,area.snippet:choice.snippet,,,,,
"00.00: The room spins around you.  The bubbly drink in your hand feels, in the nicest way, like it’s going straight to your",00.00:00 head,00.00:01 smile,00.00:02 hips,00.00:03 eyes,00.00:04 feet,00.00:05 tongue
,"00.00:00.a You feel pleasantly dizzy, enough to lighten your thoughts and make you feel like you’re floating around the room.  In fact, you’re hardly thinking at all, instead living very much in the present.  And what a present it is!  A large hall, filled with luxuries and the finest of society; you among them, wearing your very best, feeling like a spectacle at this elegant celebration. +++indulgent","00.00:01.a There must be some converse relation between the two; the more of the sweet drink you consume, the wider your smile becomes.  Every direction you look, there are people, conversing in low, jewel-bright tones; they glance back at you and also smile.  You touch all the others in their tunics and gowns, their jackets and veils, with your smile, and feel like the most important person in the world right now. +++persuasive","00.00:02.a All you feel like right now is dancing.  A few others nearby are swaying as well, and you waltz over to join them.  Music plays smoothly from a balcony above, a counterpoint to the susurration of conversation from those around you.  Their words blend together, creating melodies and harmonies that, when you let your mind float inside it, you swear you can hear the rhythm to.  It’s a catching rhythm, and all you want to do is dance, dance… twirl and leap to the music of the room until you float into the air.  Tonight, it all seems possible. +++romantic","00.00:03.a The more you drink, the hazier the room becomes, the colors and faces all swirling together into one mass of glorious celebration.  How lucky you are to be here!  Sounds and smells all mesh into one, and as you sip on your sweet beverage you feel the sights mingling into the mix as well, until you swear you can smell the music of the orchestra, a lovely floral bouquet of strings and horns; the aromas coming from the banquet tables rising like colored smoke; the guests in their finery of red and gold like a waterfall in the eaves,  their dancing like the roar of a train down a crevasse, a waved golden ticket like the ringing of a bell… +++whimsical","00.00:04.a You feel like you’re gliding around the massive hall, floating on the plush red carpet.  You hardly make a noise, as though the air itself is cushioning your body, an invisible cape that nonetheless tells everyone around that you are someone worth power, a shaper of the world.  You make your way through groups and couples over to the hardened stone of the dance floor, polished and surprisingly forgiving in the warm, golden light.  There you take a partner and the two of you whirl around, secrets and the hum of mischief fluttering around like the wings of a bat.  The most wondrous way to spend an evening, and the best night you’ve had in awhile… +++subtle/graceful","00.00:05.a Words trip more and more easily off the more of the sweet drink you consume, as though the bubbles carry each idea straight from your heart to the ears of your listeners.  The revelers laugh and applaud your witticisms, and as you delight the small crowd around you your only thought is a fleeting wish that you will recall all of these words tomorrow so that others can be so taken with everything you say. +++witty"
"00.01: Time passes as it would in a dream, all the highlights a single moment with nothing in between.",,,,,,
"00.02: You remember laughter, dancing, chatter, but none of it your own.  There was the swish of satin skirts, the spread of arms between groups like morphing webs trapping individuals into conversations, where eyebrows thick and thin would showcase a range of expression unseen any day before now.",,,,,,
"00.03: You take it all in, breathing in the dust falling from the ceiling, coming in from the hallways, which seemed more like tunnels the longer the night went on.",,,,,,
"00.04: From those dark tunnels, once gold and red like everything else in this grand hall, came the smell of something like burnt tea, billowed by smoke.  Motes of dust and hair filtered through the crowds.",,,,,,
"00.05: Just as the first bouts of coughing began, a line started to form outside of a small room.  “Free dream!” a man shouted, his cry taken up by everyone queued.  “Free dream, free dream!”  The cries were wails and shrieks, nearly deafening despite how calm those on line looked.  They waited patiently, the room they slowly gained access to bright and beckoning.  Dream!  You love dream!",00.05:00 I do love dream. #hadDreamBefore,"00.05:01 I normally don’t, but today feels like the best day to have some. #firstTimeDream",00.05:02 I don’t believe it.,,,
,"00.05:00.a You’ve partaken of dream many times, but never for free.  Today truly is a lucky day! +++indulgent","00.05:01.a Why not?  It’s free, and you’ll get to satiate that curiosity you’ve always felt towards dream.  Besides, everyone else seems so eager. +++curiosity","00.05:02.a Dream for free?  Unlikely.  Dream is expensive, and only barely legal.  Something else must be going on here, or this is the most unusual party you’ve ever been to. +++skeptical",,,
"00.06: Nearly everyone in the room is now queued up, the line snaking out of the small room and around the perimeter, those under the balconies falling into the flickering shadow of the candlelights. ",00.06:00 Join the line.,00.06:01 Cut the line.,00.06:02 Investigate the room.,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
