storyID,comment,prerequisites,effects,questionBefores,questionAfter,choiceIns,choiceOuts,content
BEGINNING,intro,,,—,q001,,,"As a fourteen year old girl from a magical family in the secret land of Belvig, you’re expected to attend Aeithlynik, the private National School for Young Witches.  Considering how your mother and grandmother and her mother and grandmother all attended Aeithlynik, you know you’re guaranteed an invitation to attend, but that does not mean you can skip the application."
q001,,,,BEGINNING,q002,,,"The application is a long-held tradition for Aeithlynik.  The Headmistress, Agatha McMillan, reads each and every application to determine whether they’re a good fit for her school.  If a girl passes, the professors all read over her letter to decide the major of study for which she’d be best suited.  If a girl fails, she is declined an invitation and encouraged to attend the public, co-education magical school at the bottom of the hill."
q002,,,,q001,q003,,,"As the summer before your potential first year, you sit down to write your letter of interest to the school.  Headmistress McMillan has provided a guide to every girl who is known to possess magical ability, a template for writing this letter.  It’s both for peace of mind for the student, and ease for her to determine a candidate’s potential for the school."
q003,,,Font,q002,q010,,,"The guide arrived in the mail earlier today, and you open it with eager trepidation as you begin your letter of interest."
q010,,Font,,q003,q020,,,"Thank you for applying to the prestigious School of Aeithlynik.  Enclosed, you will find questions and subsequent choices to help guide your aptitude in your letter, which should showcase your interest to attend.  Let us begin, shall we?"
q020,Q1,,,q010,,,"c020.0, c020.1, c020.2, c020.3, c020.4, c020.5, c020.6",Q1: Which subject interests you most?
q030,Q2,,,,,"c020.0, c020.1, c020.2, c020.3, c020.4, c020.5, c020.6","c030.0, c030.1, c030.2, c030.3",Q2: You prefer to spend the day:
q040,Q3,,,,,"c030.0, c030.1, c030.2, c030.3","c040.0, c040.1, c040.2, c040.3, c040.4, c040.5, c040.6",Q3: What do you strive for most? (subsequent questions not programmed in yet)
q041,Q3a,,,,,"c040.0, c040.1, c040.2, c040.3, c040.4, c040.5, c040.6","c040.0, c040.1, c040.2, c040.3, c040.4, c040.5, c040.6",Q3a: What else do you strive to achieve? (the one you chose is no longer available to select)
q042,Q3b,,,,,"c040.0, c040.1, c040.2, c040.3, c040.4, c040.5, c040.6","c040.0, c040.1, c040.2, c040.3, c040.4, c040.5, c040.6","Q3b: (Most of the remaining, or least?)"
q050,Q4,,,,,"c040.0, c040.1, c040.2, c040.3, c040.4, c040.5, c040.6","c050.0, c050.1, c050.2",Q4: Do you like to study?
q060,Q5,,,,,"c050.0, c050.1, c050.2","c060.0, c060.1, c060.2, c060.3",Q5: Do you make friends easily?
q070,Q6,,,,,"c060.0, c060.1, c060.2, c060.3","c070.0, c070.1, c070.2",Q6: You learn best:
q080,Q7,,,,,"c070.0, c070.1, c070.2","c080.0, c080.1, c080.2, c080.3, c080.4, c080.5, c080.6",Q7: What do you consider your most defining feature?
